year2,state,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,11,h) 500 to 999,104,294,19425,19305,21,7.1,23,7.8,4711,2602,2109,13.5,24.4,4471,916,3555,4.7,23.2,240,1.2,46.4,0,,,
1977,11,i) 1000 to 2499,112,297,28454,26863,25,8.5,16,5.5,4877,3094,1783,11.5,18.2,1694,425,1269,1.6,6.3,3183,11.9,12.6,0,,,
1977,11,j) 2500 to 4999,82,175,34855,36015,12,6.6,27,14.8,2649,522,2127,1.4,7.4,4969,817,4152,2.3,13.8,-2320,-6.4,14.8,0,,,
1977,11,k) 5000 to 9999,72,184,15350,14858,23,12.6,21,11.5,2584,1187,1397,8,17.4,1599,461,1138,3.1,10.8,985,6.6,21.6,0,,,
1977,11,l) 10000+,199,620,47080,47577,55,8.6,90,14.1,11462,3706,7756,7.8,24.1,12456,3083,9373,6.5,26.2,-994,-2.1,48.2,0,,,
1977,12,a) 1 to 4,90070,90460,207720,198827,26119,29.7,20477,23.2,90071,67201,22870,33.8,45.3,72284,51446,20838,25.9,36.4,17787,8.9,72.8,0,16087,16107,41178
1977,12,b) 5 to 9,30888,31855,211234,206509,3554,11.3,2481,7.9,62856,33643,29213,16.3,30.4,53406,28373,25033,13.7,25.9,9450,4.5,51.8,0,1785,1817,22328
1977,12,c) 10 to 19,15787,17196,220619,216151,1892,11.2,1229,7.3,58878,28883,29995,13.4,27.2,49942,25706,24236,11.9,23.1,8936,4.1,46.2,0,785,803,20106
1977,12,d) 20 to 49,8698,11077,267158,262720,1486,13.8,827,7.7,69579,34622,34957,13.2,26.5,60703,30641,30062,11.7,23.1,8876,3.4,46.2,0,394,416,22765
1977,12,e) 50 to 99,2808,4719,181809,176494,676,15,290,6.4,42135,18810,23325,10.7,23.9,31504,12612,18892,7.1,17.8,10631,6.1,35.6,0,56,68,7341
1977,12,f) 100 to 249,1656,4056,190232,186362,568,14.6,280,7.2,42026,20424,21602,11,22.6,34286,12575,21711,6.7,18.4,7740,4.2,36.8,0,25,25,6988
1977,12,g) 250 to 499,682,2572,112897,105090,369,15,160,6.5,28849,13224,15625,12.6,27.5,13235,3091,10144,2.9,12.6,15614,14.9,25.2,0,,,
1977,12,h) 500 to 999,460,1855,106388,103043,195,10.5,193,10.4,22595,9634,12961,9.3,21.9,15904,5569,10335,5.4,15.4,6691,6.5,30.8,0,,,
1977,12,i) 1000 to 2499,473,3004,130981,127707,363,12.5,153,5.3,21882,5822,16060,4.6,17.1,15334,2731,12603,2.1,12,6548,5.1,24,0,,,
1977,12,j) 2500 to 4999,320,2714,118491,111063,268,10.1,161,6.1,25168,9756,15412,8.8,22.7,10312,3435,6877,3.1,9.3,14856,13.4,18.6,0,,,
1977,12,k) 5000 to 9999,251,2722,105860,104134,201,7.3,245,9,15371,5512,9859,5.3,14.8,11919,3922,7997,3.8,11.4,3452,3.4,22.8,0,,,
1977,12,l) 10000+,406,9861,565512,518557,1125,11.8,549,5.7,143464,72467,70997,14,27.7,49554,11881,37673,2.3,9.6,93910,18.1,19.2,0,,,
1977,13,a) 1 to 4,44706,44858,100870,97852,11754,26.7,9743,22.1,40511,29668,10843,30.3,41.4,34474,24468,10006,25,35.2,6037,6.2,70.4,0,7593,7599,19563
1977,13,b) 5 to 9,15619,16045,104778,102625,1527,9.7,1036,6.6,27673,14358,13315,14,27,23366,11315,12051,11,22.8,4307,4.2,45.6,0,731,742,8800
1977,13,c) 10 to 19,8271,9044,113863,111324,960,10.9,565,6.4,27342,12586,14756,11.3,24.6,22263,11116,11147,10,20,5079,4.6,40,0,324,331,8321
1977,13,d) 20 to 49,4709,5985,140608,137700,758,13.1,389,6.7,33174,15055,18119,10.9,24.1,27358,13656,13702,9.9,19.9,5816,4.2,39.8,0,168,177,9926
1977,13,e) 50 to 99,1632,2638,98790,98119,313,12.2,180,7,19737,8374,11363,8.5,20.1,18395,8509,9886,8.7,18.7,1342,1.4,37.4,0,46,47,5598
1977,13,f) 100 to 249,1092,2314,104374,102587,365,16.5,168,7.6,22382,9681,12701,9.4,21.8,18807,7587,11220,7.4,18.3,3575,3.5,36.6,0,15,15,4435
1977,13,g) 250 to 499,612,1495,77248,74647,257,18.2,96,6.8,14743,6693,8050,9,19.8,9541,2157,7384,2.9,12.8,5202,7,25.6,0,,,
1977,13,h) 500 to 999,493,1448,77139,74493,140,9.8,95,6.7,13891,3353,10538,4.5,18.6,8599,2234,6365,3,11.5,5292,7.1,23,0,,,
1977,13,i) 1000 to 2499,515,1870,94861,91433,283,15.8,121,6.8,19259,4833,14426,5.3,21.1,12403,2379,10024,2.6,13.6,6856,7.5,27.2,0,,,
1977,13,j) 2500 to 4999,377,1907,78536,75410,297,16.3,136,7.5,15075,7248,7827,9.6,20,8823,2260,6563,3,11.7,6252,8.3,23.4,0,,,
1977,13,k) 5000 to 9999,271,1802,96626,98102,197,11.1,149,8.4,13481,3351,10130,3.4,13.7,16433,2369,14064,2.4,16.8,-2952,-3.1,27.4,0,,,
1977,13,l) 10000+,421,6508,405188,388173,722,11.3,488,7.7,72658,31554,41104,8.1,18.7,38628,9289,29339,2.4,10,34030,8.7,20,0,,,
1977,15,a) 1 to 4,7610,7647,17616,16797,1961,26.4,1445,19.5,7089,5270,1819,31.4,42.2,5451,3752,1699,22.3,32.5,1638,9.7,65,1,1125,1128,
1977,15,b) 5 to 9,3085,3245,21295,20635,427,13.5,241,7.6,6308,3729,2579,18.1,30.6,4988,2579,2409,12.5,24.2,1320,6.4,48.4,0,157,162,1945
1977,15,c) 10 to 19,1918,2144,26790,26425,282,13.5,159,7.6,6723,3565,3158,13.5,25.4,5993,3159,2834,12,22.7,730,2.7,45.4,0,93,99,2355
1977,15,d) 20 to 49,1112,1448,33974,33447,217,15.6,109,7.8,8246,4232,4014,12.7,24.7,7192,3939,3253,11.8,21.5,1054,3.2,43,0,39,40,2214
1977,15,e) 50 to 99,353,684,22839,21638,126,19.8,31,4.9,5713,3282,2431,15.2,26.4,3310,1574,1736,7.3,15.3,2403,11.1,30.6,0,7,8,698
1977,15,f) 100 to 249,214,654,26036,25691,58,9.1,31,4.9,4218,1148,3070,4.5,16.4,3528,1007,2521,3.9,13.7,690,2.7,27.4,1,1,1,
1977,15,g) 250 to 499,86,406,14528,13866,35,8.8,21,5.3,3149,1376,1773,9.9,22.7,1824,832,992,6,13.2,1325,9.5,26.4,0,,,
1977,15,h) 500 to 999,67,258,15736,15603,24,9.4,17,6.7,1716,325,1391,2.1,11,1450,509,941,3.3,9.3,266,1.7,18.6,0,,,
1977,15,i) 1000 to 2499,85,323,17315,17145,22,7,7,2.2,1344,488,856,2.8,7.8,1004,91,913,0.5,5.9,340,1.9,11.8,0,,,
1977,15,j) 2500 to 4999,63,199,9385,9337,25,13,14,7.3,754,362,392,3.9,8.1,657,149,508,1.6,7,97,1.1,14,0,,,
1977,15,k) 5000 to 9999,73,137,7163,6973,14,10.4,11,8.1,1079,335,744,4.8,15.5,699,337,362,4.8,10,380,5.5,20,0,,,
1977,15,l) 10000+,183,769,48430,45826,115,15.5,64,8.6,9246,3480,5766,7.6,20.2,4038,1883,2155,4.1,8.8,5208,11.4,17.6,0,,,
1977,16,a) 1 to 4,9234,9266,21042,19904,2663,29.9,1882,21.1,9098,6664,2434,33.5,45.7,6821,4652,2169,23.4,34.3,2277,11.4,68.6,0,1470,1472,3813
1977,16,b) 5 to 9,3207,3302,22165,21191,374,11.6,229,7.1,6742,3454,3288,16.3,31.8,4794,2566,2228,12.1,22.6,1948,9.2,45.2,0,160,165,1944
1977,16,c) 10 to 19,1795,2013,24593,23778,227,11.6,116,5.9,6489,3090,3399,13,27.3,4858,2362,2496,9.9,20.4,1631,6.9,40.8,0,73,77,1907
1977,16,d) 20 to 49,980,1277,28741,28078,132,10.6,63,5.1,6631,2766,3865,9.9,23.6,5304,2281,3023,8.1,18.9,1327,4.7,37.8,0,32,32,1690
